FID,Planet,planet_norm,Region,Sector,System,Grid,X,Y,arcgis_hash,deleted,Canon,Legends,zm,name0,name1,name2,lat,long,ref,status,CRegion,CRegion_li
227,Argai Minor,argai minor,Colonies,Haldeen Sector, ,M-9,2114.58,787.44,b5622d49f74c2d5c6cd91fe1a75205a81ad33be76b3cda04bf363d5aad28f6a9,0,1,1,2,argai minor, , ,7.05581826609,18.9955751552, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
228,Carida,carida,Colonies, ,Carida system,M-9,2275.48,889.16,00b893516dbf9a0f91175b59ef5fd6c2fb8d12277f4455556f5af8efd729e450,0,1,1,0,carida, , ,7.96172302335,20.4409615925, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
229,Dakshee,dakshee,Colonies, , ,M-9,2305.07,763.4,b0d841f6e06062f48c71e4cc371b74d814b64f14568cedcdaa5f49b6ee6ddd91,0,0,1,2,dakshee, , ,6.84142745762,20.7067797883, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
230,Hok,hok,Colonies, , ,M-9,2650.91,572.91,2e7c942c0c7d6eecc9506c8809199fd29a3dbb486fb50411327ac2601a993155,0,1,1,1,hok, , ,5.13963137598,23.813529948, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
231,Grandine,grandine,Colonies, , ,M-9,2593.58,79.11,46ea0f26caed9c2e8a18c78cfc97122469d6154ac6e86d6268fbebf6ffcaffff,0,0,1,2,grandine, , ,0.710678773017,23.2985071942, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
232,Parkis,parkis,Colonies, , ,M-10,2575.08,-361.05,49a2ed79ea878bc723bbd29186e569b928b00fbfee30f21ceaba4118890da0e7,0,0,1,2,parkis, , ,-3.24161790253,23.1323708225, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
233,Kattada,kattada,Colonies, ,Kattada system,M-10,2865.44,-375.84,4cf52fa167d28ab33208380721916d3baf80a72f1a9edbcae50352c4e544423f,0,1,1,1,kattada, , ,-3.3743055185,25.7407118653, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
234,Neimoidia,neimoidia,Colonies, ,Neimoidia system,M-10,2816.24,-896.96,7f97085aa6776d57aa313ba4d02b195a55fc76285ec4a950bd16bde33aacc283,0,1,1,1,neimoidia, , ,-8.03113435077,25.2987355919, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
235,Balmorra,balmorra,Colonies, ,Balmorra system,M-10,2801.73,-870.01,226a22e941e3ddb1d0894d5b96e7589eac1e032481db7cbbd7e4962fe84de93d,0,1,1,2,balmorra, , ,-7.79135179916,25.1683811607, ,d,The Slice,https://starwars.fandom.com/wiki/The_Slice
236,Exodeen,exodeen,Colonies, ,Exodeen system,M-12,2980.11,-3116.69,a6fa3180558f0ce3f6d0f8c27079afbd118235ad40ed031f65771a592ef8517b,0,1,1,1,exodeen, , ,-26.9456746968,26.7707573729, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
237,Loronar,loronar,Colonies, , ,M-12,2763.72,-3717.75,e8d210a4c6fa13a8ad5feb0142a74586951aea02286f63ac2b6b0fcf307c691b,0,1,1,1,loronar, , ,-31.6522430436,24.8269618187, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
238,Byblos,byblos,Colonies, ,Byblos system,M-12,2874.69,-3961.87,7eed65c854a04724b8634acf3dd5669e8ccfecd793fd33e65798ad09d7abba1b,0,1,1,1,byblos, , ,-33.5000871056,25.8237800516, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
239,Pencael IV,pencael iv,Colonies, ,Pencael system,M-12,2980.11,-4128.32,8097bbe094d9aa6afb0456a672ebcff185f0ce8f0c9d4a0b3b26a89a352dd67e,0,0,1,2,pencael, , ,-34.7379014204,26.7707573729, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
240,Arat Fraca,arat fraca,Colonies,Parfadi Sector, ,M-12,2673.1,-3980.37,f0c5c2be81dfe81318922bf030a7f9507d7a31b34a747c1b800127e51dda7d85,0,0,1,2,arat fraca, , ,-33.6385147966,24.0128935953, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
241,Motexx,motexx,Colonies, , ,M-13,2225.54,-4842.2,77b37d57667916c25a98178143a576fb6acf687f1c9ed462d5e75484f2feb3e1,0,0,1,2,motexx, , ,-39.8363984,19.9923933881, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
242,Froswythe,froswythe,Colonies, ,Frosawythe system,M-13,2273.63,-4990.15,6f3d2c4716bb1a85e0c71f2c2e2a9388d9300b8547ad6c41edea37d99fce5d7b,0,0,1,2,froswythe, , ,-40.8493780048,20.4243479556, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
243,Enisca,enisca,Colonies, , ,M-13,1900.05,-5016.04,a7dc9d8166680dc5730a348e609b3190a25381709340c1deb0c148aef2f22131,0,0,1,2,enisca, , ,-41.0250834941,17.068393237, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
244,Kelada,kelada,Colonies, , ,M-13,1816.82,-5299,940e4558f3ef19022edf158b7dcb56d1db8e4e32c251b44c9029e6f0517dd23a,0,1,1,1,kelada, , ,-42.9147419183,16.320779563, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
245,Devaron,devaron,Colonies, ,Devaron system,M-13,1805.72,-5596.76,cf55d11ab6ef955d3a024dbbe280922d1c52aaff24826e4b341e071fe3819065,0,1,1,1,devaron, , ,-44.8425015961,16.2210977389, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
246,Belazura,belazura,Colonies, , ,M-13,2048,-4625.81,ce7e1c27a4991c0382f5aa330c045fb39325432b9c0c4b1bbb9a50fce02eea30,0,0,1,2,belazura, , ,-38.3276393028,18.3974842151, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
247,Bryexx,bryexx,Colonies, , ,M-13,1944.43,-4879.18,f80660cfe3ae4fe71bd52b30ab267c12ff60f803d0d34012a38e5837a333e693,0,0,1,2,bryexx, , ,-40.0910687243,17.4671205307, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
248,Sanjin,sanjin,Colonies, , ,M-13,1713.75,-4679.78,5798c9418c183d5e39aea9c09f85367b580f42ef522e420fffeefa8aff32cd9b,0,1,1,2,sanjin, , ,-38.7069260377,15.3948445388, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
249,Corroth,corroth,Colonies,Baronos Sector, ,N-9,3094.77,513.73,dca0cbbdaea5bfa6ebf8397e928eff2adf1acf073662f390e4b636c54b7f40e9,0,0,1,2,corroth, , ,4.60991993214,27.8008028805, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
250,Tibro,tibro,Colonies,Baronos Sector,Tibro system,N-9,3109.57,347.28,270f51d91ea300f00399ce8b679d3c6db71ad5d8f7eb58706dd498c31ae61774,0,0,1,2,tibro, , ,3.1181340782,27.9337119784, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
251,Manwess III,manwess iii,Colonies, , ,N-9,3235.33,188.23,febff927c17bb6bacc48e2fbceacd522eafc273c4706c0153009ae5a9e8f5260,0,0,1,2,manwess, , ,1.69065619798,29.0634393092, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
252,Uquine,uquine,Colonies, , ,N-10,3092.92,-505.3,3458c1aa43379e0712502c06b45a2914eee8275701b8e339da28f1f68d7e560e,0,1,1,2,uquine, , ,-4.53447142676,27.7841892436, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
253,Resht Vii,resht vii,Colonies, , ,N-10,3403.63,-381.39,e090bf15dd2401dcefd238413f1e065f85a90c1480bbe6ca919cdacb20a7b298,0,0,1,2,resht, , ,-3.42405874214,30.5752802959, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
254,Xobome 6,xobome 6,Colonies, ,Xobome system,N-10,3510.89,-479.41,9f65bc43a75b75d833e3a42deb3eb4787b4cefcc89decd7c684a662fc6c95f0d,0,0,1,2,xobome, , ,-4.30257194941,31.538871255, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
255,Foundry,foundry,Colonies, ,Foundry system,N-10,3059.63,-1124.86,8054f9c52212cfe1cabd976856b323e45389c1969b72959381e76edc62d99358,0,1,1,2,foundry, , ,-10.0528022521,27.485143774, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
256,Faro,faro,Colonies, , ,N-10,3793.85,-1071.23,aae36c77e90ac438f7de70ff805cbb7530b15b964eba1e35e7cb55de119c2c6c,0,0,1,2,faro, , ,-9.57806072483,34.0807577493, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
257,Commenor,commenor,Colonies, ,Commenor system,N-10,3466.51,-1474.4,bf926c2ce1b40a2ab408b4fdc36b4343df7e1589941eab9210f9064442fece61,0,1,1,1,commenor, , ,-13.1283498489,31.1401439613, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
258,Damoria,damoria,Colonies, , ,N-11,3329.65,-1618.65,e10248266cb190f08409dee85eeb370e657fd0329bbc93ddea074f8f811e04ea,0,0,1,2,damoria, , ,-14.3870071479,29.9107348073, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
259,Chorax,chorax,Colonies, ,Chorax system,N-11,3226.08,-1748.11,a61f2c5f6060e4f093762bccb6334274cdaf18825d6f0036b16afcdda6624137,0,0,1,2,chorax, , ,-15.5105830134,28.9803711229, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
260,Vladet,vladet,Colonies, ,Rachuk system,N-11,3216.83,-1944.15,a02c8fba1436f395831a2366264ccf496cff1a209df9a15c080a47b4d3aebd7f,0,0,1,2,vladet, , ,-17.200293031,28.8973029375, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
261,Cato Neimoidia,cato neimoidia,Colonies, ,Cato Neimoidia system,N-11,3244.57,-2027.38,266249d5e8e8d8a236f583dae5773401414ce386251a2dfe360ed93cf6a9622b,0,1,1,1,cato neimoidia, , ,-17.9130765853,29.1465074955, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
262,Hensara III,hensara iii,Colonies, , ,N-11,3274.16,-2114.3,f53a2ba21ea71c8f7e944e077df57c8d5f38d7eb0b0a4d48dce80df0a152d72a,0,0,1,2,hensara, , ,-18.654489939,29.4123256913, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
263,Darek,darek,Colonies, , ,N-11,3723.57,-2212.32,603fb7be0e42518a8ea3fb9cc44a17389e05ff5b5d451501ad277b04fc053ce2,0,0,1,2,darek, , ,-19.4866777261,33.4494395354, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
264,Talasea,talasea,Colonies, ,Morobe system,N-11,3364.79,-2338.08,9687113f0d42b9f61a41608da9a5ce9725fb48f23acf85f6345988fed28f74a4,0,0,1,2,talasea, , ,-20.5481375111,30.2263939147, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
265,Vanjervalis,vanjervalis,Colonies, , ,N-11,3115.11,-2896.6,d653cc9a21e4c38ab7b6ecd01b1df18da4261344282f3deaa34cfa45781d3634,0,0,1,2,vanjervalis, , ,-25.1697170751,27.98355289, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
266,Lankashiir,lankashiir,Colonies, , ,N-11,3520.14,-2889.21,60336b691e168c97f15611c5a7310d02e0714b6f2a5e9797963436e1b40e2795,0,0,1,2,lankashiir, , ,-25.1095574296,31.6219394413, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
267,Quellor,quellor,Colonies, ,Quellor system,N-12,3521.99,-3140.73,454893acb0b7c8875d8063deba3540839e77aa23d3c3f3b24ce4ae8e23daa7e3,0,1,1,1,quellor, , ,-27.138040045,31.6385530782, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
268,Boudolayz,boudolayz,Colonies, ,Boudolayz system,N-12,3017.1,-3194.36,db0d661986b82095892103cfe5775127f6bba80fe3afd08c8da5c351162d6d25,0,0,1,2,boudolayz, , ,-27.5659695378,27.1030301172, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
269,Herzob,herzob,Colonies, , ,N-12,3048.54,-3296.08,c3849e6d0d54967f39a7110c2056a97f27908ff94e715462d8001a2a243c1c1a,0,0,1,2,herzob, , ,-28.372980937,27.3854619499, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
270,Besnia,besnia,Colonies, , ,N-12,3111.42,-3468.08,44b7b14e9d18b861f844ad1223a06d9bc58c8735302b05b165fe17d4011fabfb,0,0,1,2,besnia, , ,-29.7236454056,27.9503256153, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
271,Koensayr,koensayr,Colonies, , ,N-12,3153.95,-3619.73,85dbfc7ab4f90cc9d303b3408a2431343207875f06c0fda438010f97f0cb6c79,0,0,1,2,koensayr, , ,-30.8996901709,28.3324392721, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
272,Aquilae,aquilae,Colonies, ,Aquilae system,N-12,3227.93,-3919.34,2294e11a7af4f3429a7b38ea5c2071ebb778dc281f169d1da1887bc62f889b30,0,0,1,2,aquilae, , ,-33.1808627485,28.9969847607, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
273,Havricus,havricus,Colonies, , ,N-12,3148.4,-4370.59,42c952f1045c16a67ce4f158f4230225bcaca0371bf50c4a3f75012d01483529,0,0,1,2,havricus, , ,-36.5068851973,28.2825983605, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
274,Virgillia 7,virgillia 7,Outer Rim,Koradin Sector,Virgillia system,I-18,-3709.33,-13089.13,4829bdbdb08c4661ae678b6114b87d17bee5772c9191f06c384c21bc7f29a8ce,0,1,1,1,virgillia, , ,-75.360459585,-33.321498536, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
275,Lipsec,lipsec,Outer Rim,Koradin Sector, ,I-18,-4137.63,-12991.36,ff4ca2b6adb155165d9aa8d7acf2ece95add071043d6b1ae1f164e68119c6821,0,0,1,1,lipsec, , ,-75.1368440585,-37.1689945607, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
276,Coveway,coveway,Outer Rim,Koradin Sector,Coveway system,I-18,-3395.09,-12276.75,62f5d28810eeedcbbcdc481a35a4ed66d2378efd1652488119f51af56784f6d4,0,0,1,2,coveway, , ,-73.3979710578,-30.4986074317, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
277,Sump,sump,Outer Rim,Koradin Sector,Sump system,I-18,-3119.79,-13369.96,eb0571094be001ebebf68af9feb127597a3182b967e6f33fdf456a1c974e6d93,0,1,1,2,sump, , ,-75.9846540408,-28.0255143009, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
278,Abridon,abridon,Outer Rim,Koradin Sector,Abridon system,J-18,-2021.42,-13299.78,cefd1e5826336e38462ee140369e78caef3f1d0967884860d6c2ec42c097386b,0,0,1,2,abridon, , ,-75.8311583167,-18.1587252349, ,d,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
279,Keskin,keskin,Outer Rim,Koradin Sector,Keskin system,J-18,-2457.02,-13396.39,3c7dc6680e77ac28d0a34f9a2e9e58a564be258ae3f1a93e5fbcb07bd22e1311,0,0,1,2,keskin, , ,-76.0420305195,-22.071754725, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
280,Trenwyth,trenwyth,Outer Rim,Stensen Sector,Trenwyth system,I-16,-4278.2,-10448.33,ea1ce0f6e602cf4311caca564d822b53058c5fa13d869a74f0b85a5fa230624e,0,1,1,1,trenwyth, , ,-68.0044690196,-38.4317446147, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
281,Gannaria,gannaria,Outer Rim,Trilon Sector, ,H-15,-5637.59,-8170.26,f4da6b26b6368d29072477c008f87c21fc3249bded54fb9c3d9256a577bff82a,0,1,1,1,gannaria, , ,-58.9531104431,-50.6433624321, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
282,Zaddja,zaddja,Outer Rim,Trilon Sector, ,H-15,-5656.22,-7723.34,0e1a39627c85e9ee92c19a83095d2513cba1811640777c6206c67f36afc2d9c5,0,1,1,1,zaddja, , ,-56.819602646,-50.8106448681, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
283,Rattatak,rattatak,Outer Rim,Trilon Sector,Guter Wade system,H-16,-5550.69,-9132.39,07c71fa2ba5c0a4a429a990a84f5ee7418e28c125ae5a5c8616779a0d18fb9af,0,1,1,1,rattatak, , ,-63.1307585846,-49.8627110647, , ,Unknown Regions,https://starwars.fandom.com/wiki/Unknown_Regions
284,Abbaji,abbaji,Wild Space, , ,J-4,-2855.03,7745.73,ed8e8863bff343514d7838865d66e2154f4c447d4c99e985466a4a661fc4af72,0,0,1,2,abbaji, , ,56.9295414619,-25.6472119721, , ,New Territories,https://starwars.fandom.com/wiki/New_Territories
285,Firrerre,firrerre,Outer Rim,Zuma Sector,Firrerre system,H-16,-5420.34,-9827.6,901e48500d0a4b74194896b04ea6f780f358066a2fb671862253c4b7a273e5bb,0,1,1,1,firrerre, , ,-65.8194268299,-48.6917340142, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
286,Houche,houche,Outer Rim,Zuma Sector, ,H-16,-5184.46,-9405.5,20ae175c9f0594c95120898ff5c0778b58a2b900ebb68d1b18dd7a6a31c4824d,0,0,1,2,houche, , ,-64.2186441848,-46.5728231602, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
287,Annaj,annaj,Outer Rim,Moddell Sector,https://starwars.fandom.com/wiki/Moddell_sector,H-16,-4947.63,-10468.96,b2c14802d42790aa590419b8eb5ba0ffcecd09d479bf832f61bd7f78038a405a,0,1,1,2,annaj, , ,-68.0737999281,-44.4453117432, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
288,Endor,endor,Outer Rim,Moddell Sector,Endor system,H-16,-5148.29,-10245.37,efc20b25720e33d20fdf5fcbef27cb6e3b33cc4f94e8ad5f78149fe15ff3032b,0,1,1,0,endor,kef bir, ,-67.311466287,-46.247859401, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
289,Ast Kikorie,ast kikorie,Outer Rim,Moddell Sector, ,H-16,-5215.5,-10203.89,5da273a87c4a3f04533c78e7aea72b622e82dcbd601974f435c72fdd2bd57e6f,0,1,1,3,ast kikorie, , ,-67.1672959842,-46.8515949582, ,d,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
290,Sanyassa IV,sanyassa iv,Outer Rim,Moddell Sector,Sanyassa system,H-16,-5193.15,-10285.66,b81fc0015f3f2a7e1579480bac88d63617a8842c649cab5bc6d6411da1d64a7f,0,0,1,3,sanyassa, , ,-67.4506532179,-46.6508744281, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
291,Endor Gate,endor gate,Outer Rim,Moddell Sector, ,H-16,-5156.63,-10249.88,3aef360bd2e89054dcbe766ec4a0991e020062112e316b0223a5ab8e44fa9467,0,1,1,3,endor gate, , ,-67.3271053304,-46.3227575643, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
292,Murk,murk,Outer Rim,Moddell Sector, ,H-16,-5103.93,-10267.35,a5903df9b61c2d4b8f6695d803bf272137bb301d570e30d6151b4a20bb49c0ed,0,0,1,3,murk, , ,-67.3874970825,-45.8494183869, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
293,UR-3741,ur 3741,Outer Rim,Moddell Sector,UR-3741 system,H-16,-5149.49,-10179.37,ea87792f128b47776dde587c5cc4b0ff90f76d968b4f0f29f985b94680a4258a,0,1,1,3,ur-3741, , ,-67.0816937236,-46.2587028777, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
294,Zorbia II,zorbia ii,Outer Rim,Moddell Sector,Zorbia system,H-16,-5106.5,-10176.33,e0c9d195945695fb95eff8160de3076940d1676d62f369fea7c3dea782726f78,0,0,1,3,zorbia, , ,-67.0710473501,-45.8724733208, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
295,Din Pulsar,din pulsar,Outer Rim,Moddell Sector, ,H-16,-5097.17,-10244.79,f588c0ca429bf965945e3df9bfd6fd6954d047815dbf35479ffd5b8b70ba8128,0,1,1,3,din pulsar, , ,-67.3094623082,-45.7886912164, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
296,UR-1060,ur 1060,Outer Rim,Moddell Sector,Outer Moddell systems,H-16,-5078.68,-10125.87,d8098b8cf202c772d368dea332e23da5ac328b6c7992e9a988fa4f33d083e8c5,0,1,1,3,ur-1060, , ,-66.8938193613,-45.6225134737, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
297,UR-2650,ur 2650,Outer Rim,Moddell Sector,UR-2650 system,H-16,-5033.43,-10098.89,2d896d63bd10d81d3e6d7a877c217f5f1eb93ec53c12f6cf1dbbecae01e2091c,0,1,1,3,ur-2650, , ,-66.7984943863,-45.2160811394, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
298,UR-9353,ur 9353,Outer Rim,Moddell Sector,UR-9353 system,H-16,-4992.16,-10102.46,fcb8a588a0a24cbdb1f8749c919fa2843f2137edee7da5b59149d9cc991fd7ae,0,1,1,3,ur-9353, , ,-66.8111322293,-44.8453007647, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
299,UR-8827,ur 8827,Outer Rim,Moddell Sector,UR-8827 system,H-16,-5016.36,-10144.92,0e2589d64209cd2c33803e4aa6a9099050445c92056f467e5bedf577eeb490f2,0,1,1,3,ur-8827, , ,-66.9608845806,-45.0627777153, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
300,Vex Major,vex major,Outer Rim,Moddell Sector,Vex system,H-16,-4942.68,-10162.12,f0f36fa3b0432ef88781a978707652e5a42cb7ac00017fa305a6d75058ce03ab,0,0,1,3,vex, , ,-67.0212714552,-44.400839674, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
301,Vasha,vasha,Outer Rim,Moddell Sector,Vasha system,H-16,-4866.74,-10140.56,51e5b7c0d05422e320d36f312dcd57cb52bea3fd95623a598aaddb512264a88a,0,0,1,3,vasha, , ,-66.9455317416,-43.7186988552, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
302,Trindello,trindello,Outer Rim,Moddell Sector,Trindello system,H-16,-5026.45,-10232.78,fdd028c1f6ba91bf4e4033e1711a3d8a3fb59dac92244c7223b55f31576f0107,0,0,1,3,trindello, , ,-67.2678007611,-45.153393111, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
303,Qina,qina,Outer Rim,Moddell Sector, ,H-16,-4941.65,-10277.1,abc67024270760a824399c10d8aaad7b2acfb90d6738e4a29688808570c84bb9,0,1,1,3,qina, , ,-67.421149473,-44.3916295842, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
304,Maya Kovel,maya kovel,Outer Rim,Moddell Sector, ,H-16,-4840.72,-10225.57,fbe32a8c1a819b5954bf6acda5564b8a8951ab1b191d9fc163c501021c947aaf,0,0,1,3,maya kovel, , ,-67.2427598785,-43.4848814238, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
305,Kuna's Tail,kuna s tail,Outer Rim,Moddell Sector, ,H-16,-5142.02,-10333.76,a39977e3bdf34f088bb2de9b2b72ba2bb63544abcc163c1aa771d1f28e35a5b9,0,1,1,3,kuna's tail,kunas tail, ,-67.6157942938,-46.1915088378, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
306,Kuna's Horn,kuna s horn,Outer Rim,Moddell Sector, ,H-16,-5070.05,-10333.1,c6cb0ecd346f167519c1d21c63cf65921093fbe8daf9ff2ef5e42efe5a194bc2,0,1,1,3,kuna's horn,kunas horn, ,-67.6135313824,-45.5450199787, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
307,Kuna's Fist,kuna s fist,Outer Rim,Moddell Sector, ,H-16,-5083.94,-10359.16,22491830e066e01932fc3401283d671bbdf004626147a64b593c8661bbaf914c,0,1,1,3,kuna's fist,kunas fist, ,-67.7025261157,-45.6698018359, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
308,Kuna's Eye,kuna s eye,Outer Rim,Moddell Sector, ,H-16,-5058.41,-10400.44,9f240ec6960e31b2dd43b86f73334b3d260b75ea146375ec9b6c6ad840364f82,0,1,1,3,kuna's eye,kunas eye, ,-67.8427854303,-45.440440899, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
309,Kuna's Tooth,kuna s tooth,Outer Rim,Moddell Sector, ,H-16,-5024.14,-10370.94,4655c2de9066567838de6b08580699ed613581b151cbce2fcd3beb917ba42a3d,0,1,1,3,kuna's tooth,kunas tooth, ,-67.7426216687,-45.1326456517, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
310,Thonner,thonner,Outer Rim,Moddell Sector,Thonner system,H-16,-4877.56,-10335.75,42ecb8cd9e05d894e6f1ce018bffe6b0690581faef17157185894dd41e7ffd80,0,0,1,3,thonner, , ,-67.6225817268,-43.8158999609, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
311,Ovise III,ovise iii,Outer Rim,Moddell Sector,Ovise system,H-16,-4913.94,-10414.33,43883635218391fa865a0d9325f02d9512061942dfb13dee0bb2db531898da8b,0,0,1,3,ovise, , ,-67.8897993835,-44.1427095865, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
312,Timora,timora,Outer Rim,Bakura Sector,Timora system,G-16,-6059.69,-10299.35,cf247cd83c7c84de2a92df29536c3835474d9060e0ce016f27347c139a8c9cf5,0,0,1,2,timora, , ,-67.4977846592,-54.4350976448, , ,Unknown Regions,https://starwars.fandom.com/wiki/Unknown_Regions
313,Bunduki,bunduki,Outer Rim,Pacanth Reach,Bunduki system,H-16,-5625.18,-9455.16,6967ebe67dea8503949c576399a9994a3d6f4db14a2dc63c69530d181fbd00f9,0,1,1,1,bunduki, , ,-64.411985314,-50.5318408081, , ,Unknown Regions,https://starwars.fandom.com/wiki/Unknown_Regions
314,Lanteeb,lanteeb,Outer Rim,Bri'ahl Sector, ,I-17,-3821.06,-11243.24,563cdc3201d8253cc41e73f2fa9cd30d39dab765bc3c5bd51fccaa0920e703f8,0,1,1,2,lanteeb, , ,-70.5293794307,-34.3251931514, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
315,Imynusoph,imynusoph,Outer Rim,Kallea Sector, ,J-21,-1581.14,-16862.87,b1ff4bbdd247f494fead03de7a050275580d6b7c56523f52a60d76c0164a2257,0,1,1,1,imynusoph, , ,-81.8677486345,-14.2036395534, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
316,Terminus,terminus,Outer Rim,Kallea Sector,Terminus system,K-20,-1086.89,-16404.7,7ba55936159cca3e3a0a6f0bc2f25aa74a5cc6f9174bbcfc897a3e7c10394ae6,0,1,1,1,terminus, , ,-81.2643371745,-9.76368490149, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
317,Delrakkin,delrakkin,Outer Rim,Kallea Sector,Delrakkin system,K-21,-769.15,-16879.56,7a677c0dfa15426b9b87682b47860dcb9c82d5dd188e6b4f3c202d85a88ab7d9,0,1,1,1,delrakkin, , ,-81.8889197841,-6.90942834017, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
318,Cantros 7,cantros 7,Outer Rim,Saijo Sector,Cantros system,J-20,-2265.49,-15996.96,fecde580eea4f050357f0915686b24a0846fd29fca4a1323df67eab3b20f16e7,0,0,1,2,cantros, , ,-80.6901057796,-20.3512690712, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
